Date,Open,High,Low,Close,Adj Close,Volume
2017-05-22,195.637543,196.256302,189.956299,195.450043,193.050308,2866535
2017-05-23,195.750046,198.375046,195.075043,197.400055,194.976395,4367670
2017-05-24,197.887543,199.575043,194.943802,196.875046,194.457825,3318495
2017-05-25,197.118805,202.012543,197.118805,201.168793,198.698868,10050050
2017-05-26,200.250046,204.337555,199.350052,202.125046,199.643372,3882921
2017-05-29,202.125046,202.143799,198.750046,200.475052,198.013657,1583471
2017-05-30,198.750046,202.500046,198.525055,201.056305,198.587753,3318689
2017-05-31,201.581299,202.500046,199.875046,200.812546,198.347000,7821499
2017-06-01,200.793793,204.375046,200.475052,202.931305,200.439743,2125410
2017-06-02,203.643799,207.712555,202.800049,206.868805,204.328888,3214036
2017-06-05,206.831299,209.212555,204.956299,208.331299,205.773438,4816985
2017-06-06,208.500046,213.000046,206.831299,210.206299,207.625412,5524971
2017-06-07,210.075058,210.562546,200.718796,206.025055,203.495499,6881107
2017-06-08,206.212555,207.375046,203.118805,204.712555,202.199112,4000897
2017-06-09,204.018799,204.018799,199.350052,201.356293,198.884064,4692305
2017-06-12,200.850052,200.850052,195.243805,197.381302,194.957855,6198038
2017-06-13,195.000046,200.025055,192.562546,194.250046,191.865067,4473021
2017-06-14,195.975052,195.975052,189.225052,192.075043,189.716766,4040258
2017-06-15,195.000046,196.425049,191.287552,195.637543,193.235519,4158901
2017-06-16,195.075043,197.325043,189.600052,191.437546,189.087082,4015144
2017-06-19,192.000046,193.425049,190.012543,190.912552,188.568558,1945835
2017-06-20,191.250046,192.262543,190.125046,190.687546,188.346298,1031729
2017-06-21,190.687546,192.375046,189.000046,191.925049,189.568604,2447852
2017-06-22,192.000046,194.137543,189.900040,191.287552,188.938950,1921619
2017-06-23,190.500046,194.925049,189.750046,192.637543,190.272369,3025976
2017-06-27,191.625046,193.537552,190.087540,192.412552,190.050125,4770248
2017-06-28,193.500046,194.550049,190.687546,193.800049,191.420593,2224035
2017-06-29,195.000046,195.675049,192.037552,194.475052,192.087311,6472483
2017-06-30,192.600052,195.637543,192.150055,193.762543,191.383545,3621276
2017-07-03,195.000046,195.300049,189.000046,194.700043,192.309525,2786356
2017-07-04,193.500046,195.712555,191.250046,195.000046,192.605865,2934169
2017-07-05,195.000046,195.300049,192.337555,193.350052,190.976120,2515334
2017-07-06,193.350052,195.037552,191.887543,193.312546,190.939072,2199426
2017-07-07,191.325043,193.687546,191.250046,193.275055,190.902054,1944903
2017-07-10,195.187546,201.712555,195.187546,201.187546,198.717377,884734
2017-07-11,199.650055,205.125046,196.575043,197.400055,194.976395,5413871
2017-07-12,197.775055,199.350052,195.975052,197.850052,195.420868,1585454
2017-07-13,197.925049,199.387543,196.087555,198.037552,195.606064,2165754
2017-07-14,198.112549,198.712555,194.250046,194.887543,192.494720,3272672
2017-07-17,199.800049,205.500046,198.412552,200.137543,197.680283,10358993
2017-07-18,200.475052,204.487549,199.875046,201.750046,199.272980,3671337
2017-07-19,202.500046,204.037552,200.475052,203.325043,200.828644,3964076
